title,company,job_category,job_area,salary_min,salary_max
Officer (Quality Control),Nabil Feed Mills Ltd.,Compliance,Anywhere in Bangladesh,,
Pharmacist/ Pharmacy Salesman,Exim Bank Hospital,Marketing/Sales,Dhaka,,
Ward Boy,Exim Bank Hospital,Medical/Healthcare Professional,Dhaka,,
OT Boy,Exim Bank Hospital,Medical/Healthcare Professional,Dhaka,,
"Principal (Electrical, Civil)",Islami Bank Institutes of Technology (Savar),Top Management,"Savar, Dhaka",,
Principal IT Data Analyst (Azure +Databrics+ Unix+Python),Syneos Health,IT/Software,,,
Sr. Software Engineer,Base IT,IT/Software,Mirpur,,
Enterprise Account Executive,Grafana Labs,Accounts/Finance,,,
ম্যানেজার,Moulvibazar Adhunik Eye Hospital,Marketing/Sales,মৌলভীবাজার,,
Software Engineering Manager,Adplay Technology Limited,IT/Software,,,
কন্সালটেন্ট,Moulvibazar Adhunik Eye Hospital,Marketing/Sales,মৌলভীবাজার,,
Customer Support Manager (E commerce),G Technology Ltd.,Customer Support/Call Center,Dhaka,,
Photostate Machine Operator,Bangladesh Supreme Court Bar Association,Others,Anywhere in Bangladesh,9000.00,21800.00
Typist Information Office Assistant,Bangladesh Supreme Court Bar Association,IT/Software,,9300.00,22490.00
Civil Engineer (Structure Designeer),Exin Steel Structure Bd Ltd,Engineer,Dhaka,,
Short typist cum Computer Operator,Bangladesh Supreme Court Bar Association,Data Entry/Operator/BPO,,10200.00,24680.00
মেডিকেল অফিসার,Moulvibazar Adhunik Eye Hospital,Marketing/Sales,মৌলভীবাজার,,
একাউন্টেন্ট,Moulvibazar Adhunik Eye Hospital,Marketing/Sales,মৌলভীবাজার,,
Stenotypist cum Computer Operator,Bangladesh Supreme Court Bar Association,Data Entry/Operator/BPO,,10200.00,24680.00
কাউন্সিলর,Moulvibazar Adhunik Eye Hospital,Marketing/Sales,মৌলভীবাজার,,
Light Operator,Bangladesh University of Professionals (BUP),Others,,,
অফিস সহকারী ( পিয়ন),Maa Travels,Marketing/Sales,"চট্রগ্রাম সদর, চট্টগ্রাম, চট্টগ্রাম",,
Sound Technician,Bangladesh University of Professionals (BUP),Others,Dhaka,,
Office Assistant cum Data Processor,Bangladesh University of Professionals (BUP),Admin/General Management,,,
Corporate Sales Executive (IT),G Technology Ltd.,Marketing/Sales,Dhaka,,
Executive in Senior Management Level (HR & Compliance) in RMG Sector,A Plus Group,HR/Human Resource,Chauddagram,,
International Education Counsellor/Advisor,SMS HIGHER EDUCATION GROUP DHAKA,Education/Training,Dhaka,35000.00,40000.00
Lab Technician,Bangladesh University of Professionals (BUP),Others,Dhaka,,
Eye drop Checker,Gaco Pharmaceuticals Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
এমএলএসএস,"তাহেরপুর পৌরসভা কার্যালয়, রাজশাহী",Others,,8250.00,20010.00
মার্কেটিং অফিসার,M S. Rabbi Motors,Marketing/Sales,"সোনাডাঙ্গা, খুলনা",,
Head of HR & Admin,BSA Group of Companies,HR/Human Resource,Chattogram,,
Lecturer - Chemistry,University of Barisal,Education/Training,Barishal,,
Lecturer - History & Civilization,University of Barisal,Education/Training,Barishal,,
Lecturer - Management Studies,University of Barisal,Education/Training,Barishal,,
Associate Professor - Law,University of Barisal,Education/Training,Barishal,,
Associate Professor - Coastal Studies & Disaster Management,University of Barisal,Education/Training,Barishal,,
Associate Professor - Botany,University of Barisal,Education/Training,Barishal,,
Associate Professor - Soil & Environmental Science,University of Barisal,Education/Training,Barishal,,
Associate Professor - Finance & Banking,University of Barisal,Education/Training,Barishal,,
Associate Professor - AIS,University of Barisal,Education/Training,Barishal,,
Associate Professor - Management Studies,University of Barisal,Education/Training,Barishal,,
Asst. Manager (Sales & Marketing),Safari Trade International,Marketing/Sales,Dhaka,,
Associate Professor - Geology and Mining,University of Barisal,Education/Training,Barishal,,
Associate Professor - CSE,University of Barisal,Education/Training,Barishal,,
Associate Professor - Chemistry,University of Barisal,Education/Training,Barishal,,
